age,job,education,balance,pdays,deposit
33,services,secondary,3444,91,yes
56,technician,secondary,589,147,yes
34,admin.,tertiary,899,170,yes
53,retired,tertiary,2269,150,yes
37,technician,secondary,5115,171,yes
45,entrepreneur,secondary,781,126,yes
46,unemployed,secondary,3354,174,yes
40,management,tertiary,3352,27,yes
32,technician,tertiary,4654,128,yes
30,blue-collar,secondary,501,177,yes
46,technician,tertiary,0,167,yes
38,entrepreneur,tertiary,1110,183,yes
32,services,secondary,983,133,yes
31,unemployed,secondary,314,178,yes
50,blue-collar,primary,12519,34,yes
47,technician,secondary,0,10,yes
59,management,tertiary,7049,163,yes
31,management,secondary,8629,184,yes
53,blue-collar,secondary,1777,154,yes
40,technician,tertiary,1646,242,yes
44,unemployed,secondary,0,272,yes
43,admin.,secondary,-247,76,yes
54,technician,secondary,2156,195,yes
31,management,tertiary,1331,90,yes
28,self-employed,tertiary,0,196,yes
32,admin.,secondary,678,246,yes
41,self-employed,tertiary,-94,203,yes
31,technician,tertiary,1109,167,yes
26,entrepreneur,secondary,101,268,yes
31,management,tertiary,12857,92,yes
33,blue-collar,tertiary,700,88,yes
34,admin.,secondary,0,85,yes
40,blue-collar,secondary,5060,93,yes
37,admin.,secondary,1314,210,yes
33,management,tertiary,3552,85,yes
30,management,tertiary,5561,100,yes
60,retired,secondary,404,196,yes
31,management,tertiary,883,106,yes
44,management,tertiary,483,199,yes
37,unemployed,tertiary,1316,112,yes
37,services,secondary,1045,41,yes
30,management,tertiary,8089,294,yes
34,technician,secondary,390,231,yes
50,management,tertiary,414,302,yes
55,blue-collar,secondary,1613,270,yes
41,self-employed,secondary,3123,135,yes
33,technician,tertiary,127,222,yes
37,admin.,secondary,1207,138,yes
48,management,secondary,4415,141,yes
32,technician,secondary,303,267,yes
38,blue-collar,secondary,2580,264,yes
41,services,secondary,803,316,yes
33,technician,secondary,719,316,yes
45,blue-collar,secondary,96,256,yes
33,management,tertiary,0,328,yes
33,admin.,secondary,572,74,yes
44,admin.,secondary,0,148,yes
43,services,primary,2557,327,yes
32,services,secondary,1129,341,yes
38,management,tertiary,6158,145,yes
52,entrepreneur,tertiary,3469,147,yes
35,technician,secondary,545,234,yes
32,services,secondary,1273,328,yes
32,technician,tertiary,932,318,yes
40,services,primary,471,345,yes
32,management,tertiary,294,274,yes
34,blue-collar,primary,329,343,yes
37,blue-collar,primary,3154,305,yes
29,technician,secondary,1180,323,yes
34,management,secondary,879,344,yes
53,technician,secondary,5303,180,yes
28,technician,tertiary,387,82,yes
29,self-employed,secondary,123,181,yes
33,admin.,tertiary,882,183,yes
53,management,tertiary,3754,278,yes
37,management,tertiary,0,153,yes
32,management,tertiary,2974,4,yes
31,technician,tertiary,1081,261,yes
29,admin.,secondary,7707,334,yes
38,services,secondary,1970,176,yes
47,technician,secondary,1167,87,yes
52,management,tertiary,193,269,yes
36,unemployed,tertiary,1291,86,yes
47,blue-collar,secondary,1230,169,yes
36,admin.,secondary,96,87,yes
23,student,secondary,0,83,yes
29,management,tertiary,697,85,yes
58,management,tertiary,5701,87,yes
48,blue-collar,secondary,292,79,yes
42,technician,tertiary,757,79,yes
42,blue-collar,primary,201,85,yes
30,management,tertiary,398,6,yes
35,management,tertiary,1750,9,yes
35,management,tertiary,193,13,yes
35,admin.,tertiary,994,87,yes
42,management,tertiary,6060,350,yes
33,management,tertiary,55,87,yes
53,management,tertiary,1624,84,yes
26,admin.,secondary,255,80,yes
30,admin.,secondary,270,80,yes
38,management,tertiary,613,86,yes
29,technician,secondary,674,13,yes
47,management,tertiary,86,87,yes
34,management,tertiary,1228,84,yes
54,technician,secondary,2156,86,yes
46,management,tertiary,699,87,yes
47,blue-collar,primary,2749,164,yes
33,blue-collar,tertiary,700,80,yes
54,technician,secondary,0,84,yes
31,management,tertiary,354,9,yes
30,admin.,tertiary,305,85,yes
28,unemployed,primary,236,87,yes
33,management,tertiary,5437,91,yes
41,blue-collar,secondary,5060,83,yes
38,technician,secondary,902,90,yes
47,technician,secondary,335,76,yes
49,management,tertiary,1,175,yes
33,technician,tertiary,1636,66,yes
60,technician,secondary,316,263,yes
32,student,tertiary,1138,83,yes
36,self-employed,secondary,188,333,yes
35,management,tertiary,520,17,yes
30,self-employed,tertiary,2666,89,yes
39,management,tertiary,1515,167,yes
39,management,tertiary,2454,263,yes
35,entrepreneur,secondary,2971,164,yes
59,retired,secondary,514,90,yes
35,student,secondary,188,78,yes
31,blue-collar,secondary,196,341,yes
30,technician,secondary,-522,286,yes
27,admin.,secondary,710,334,yes
37,technician,secondary,141,364,yes
30,management,tertiary,415,343,yes
34,entrepreneur,tertiary,0,183,yes
36,management,tertiary,7506,188,yes
32,admin.,secondary,752,166,yes
49,management,secondary,99,343,yes
33,management,secondary,3935,342,yes
31,management,tertiary,59,363,yes
40,management,tertiary,1598,344,yes
42,blue-collar,primary,1461,170,yes
36,management,tertiary,4,342,yes
30,services,secondary,-271,337,yes
29,technician,tertiary,0,337,yes
43,management,tertiary,1429,169,yes
31,admin.,secondary,0,295,yes
42,unemployed,secondary,356,356,yes
45,services,secondary,608,323,yes
45,blue-collar,secondary,-184,170,yes
39,admin.,secondary,2345,344,yes
57,admin.,secondary,6005,323,yes
42,management,tertiary,4,295,yes
57,management,tertiary,830,367,yes
47,retired,primary,1374,359,yes
42,management,tertiary,-556,347,yes
41,admin.,secondary,-109,370,yes
43,management,tertiary,580,284,yes
38,services,secondary,5293,171,yes
34,admin.,secondary,479,350,yes
38,housemaid,primary,199,306,yes
39,management,tertiary,5073,286,yes
39,admin.,secondary,607,364,yes
47,services,secondary,367,306,yes
35,blue-collar,secondary,855,300,yes
46,blue-collar,primary,804,361,yes
59,admin.,secondary,145,287,yes
36,blue-collar,primary,319,301,yes
33,technician,secondary,221,355,yes
28,admin.,secondary,451,301,yes
42,blue-collar,secondary,1080,370,yes
34,management,tertiary,76,371,yes
35,management,tertiary,1396,300,yes
51,blue-collar,primary,-19,296,yes
50,technician,secondary,-54,292,yes
40,blue-collar,primary,830,370,yes
36,admin.,secondary,437,344,yes
31,self-employed,tertiary,17924,174,yes
55,blue-collar,primary,8180,360,yes
35,blue-collar,secondary,4963,300,yes
31,admin.,secondary,8781,177,yes
48,blue-collar,primary,214,177,yes
41,blue-collar,secondary,580,363,yes
34,management,tertiary,273,175,yes
36,self-employed,tertiary,1354,356,yes
35,blue-collar,secondary,336,346,yes
31,blue-collar,secondary,953,346,yes
30,admin.,secondary,315,346,yes
42,services,secondary,146,346,yes
56,services,secondary,-40,368,yes
26,services,secondary,77,340,yes
35,admin.,secondary,534,312,yes
35,housemaid,tertiary,1265,179,yes
31,admin.,secondary,685,329,yes
29,services,secondary,6567,298,yes
39,entrepreneur,secondary,2139,371,yes
54,unemployed,secondary,582,372,yes
25,admin.,secondary,507,367,yes
48,blue-collar,secondary,480,352,yes
40,admin.,secondary,2574,176,yes
36,admin.,secondary,148,374,yes
37,blue-collar,primary,2120,175,yes
51,management,tertiary,297,375,yes
35,blue-collar,secondary,205,312,yes
29,blue-collar,secondary,-493,334,yes
40,admin.,secondary,2040,350,yes
32,technician,secondary,230,266,yes
31,blue-collar,secondary,239,360,yes
55,retired,tertiary,0,370,yes
36,housemaid,secondary,1015,347,yes
45,technician,secondary,-357,355,yes
32,blue-collar,primary,-454,355,yes
33,blue-collar,secondary,139,291,yes
38,technician,secondary,-242,278,yes
35,services,secondary,719,368,yes
29,unemployed,tertiary,497,298,yes
45,admin.,secondary,397,95,yes
32,technician,tertiary,1625,109,yes
37,services,secondary,1543,10,yes
39,management,tertiary,0,93,yes
43,services,secondary,2145,183,yes
26,student,secondary,620,94,yes
27,student,tertiary,3733,98,yes
42,management,primary,5310,186,yes
43,admin.,secondary,733,187,yes
60,retired,tertiary,439,321,yes
28,technician,tertiary,0,40,yes
24,blue-collar,secondary,167,96,yes
36,technician,tertiary,911,21,yes
32,technician,tertiary,705,35,yes
33,technician,tertiary,109,10,yes
24,student,secondary,23878,97,yes
58,retired,secondary,2714,287,yes
32,management,tertiary,312,98,yes
47,admin.,secondary,2232,103,yes
37,admin.,secondary,1967,212,yes
26,admin.,secondary,2509,97,yes
25,admin.,tertiary,760,89,yes
55,admin.,secondary,602,90,yes
49,management,tertiary,1808,95,yes
45,admin.,tertiary,2552,293,yes
47,technician,secondary,293,90,yes
54,services,secondary,0,81,yes
47,management,tertiary,2351,84,yes
26,admin.,tertiary,313,96,yes
38,admin.,tertiary,1988,67,yes
42,services,secondary,1376,92,yes
49,technician,tertiary,523,60,yes
27,technician,tertiary,15161,120,yes
49,services,secondary,7019,368,yes
28,technician,tertiary,4987,113,yes
49,management,tertiary,5887,293,yes
29,technician,secondary,23,55,yes
34,unemployed,secondary,978,71,yes
32,self-employed,secondary,409,86,yes
42,blue-collar,secondary,2913,195,yes
29,management,tertiary,637,119,yes
26,technician,secondary,1231,96,yes
26,management,tertiary,2786,72,yes
39,unemployed,tertiary,201,119,yes
43,blue-collar,primary,3917,93,yes
35,services,secondary,52,94,yes
41,services,secondary,0,122,yes
38,technician,secondary,1130,98,yes
38,entrepreneur,secondary,1190,391,yes
35,blue-collar,secondary,563,119,yes
31,management,tertiary,617,97,yes
34,admin.,secondary,303,126,yes
40,admin.,secondary,985,50,yes
28,management,secondary,171,87,yes
35,admin.,secondary,1085,86,yes
25,self-employed,tertiary,42,94,yes
31,management,tertiary,924,98,yes
22,blue-collar,secondary,682,91,yes
32,admin.,tertiary,8866,83,yes
36,entrepreneur,tertiary,3407,85,yes
60,management,secondary,544,357,yes
59,technician,secondary,259,89,yes
26,admin.,secondary,1595,105,yes
37,admin.,tertiary,1000,90,yes
34,management,tertiary,2374,314,yes
49,management,tertiary,7443,211,yes
83,retired,primary,425,140,yes
61,management,tertiary,997,104,yes
37,admin.,secondary,2061,109,yes
72,self-employed,tertiary,132,65,yes
40,management,tertiary,2763,395,yes
42,entrepreneur,secondary,2959,342,yes
28,management,tertiary,12956,399,yes
39,admin.,secondary,19,147,yes
31,blue-collar,secondary,625,49,yes
30,unemployed,tertiary,330,80,yes
37,services,secondary,981,386,yes
38,unemployed,primary,7005,412,yes
31,management,secondary,202,62,yes
31,management,tertiary,307,229,yes
25,management,tertiary,219,96,yes
47,technician,secondary,1167,96,yes
40,technician,tertiary,1646,92,yes
46,management,tertiary,242,96,yes
55,management,tertiary,2383,63,yes
30,self-employed,tertiary,2666,93,yes
48,management,tertiary,1147,64,yes
47,management,tertiary,86,97,yes
37,unemployed,tertiary,1291,97,yes
40,management,tertiary,0,98,yes
53,admin.,secondary,0,98,yes
46,management,tertiary,4693,394,yes
41,admin.,tertiary,1536,95,yes
37,admin.,secondary,96,99,yes
34,management,tertiary,0,99,yes
42,services,secondary,3403,99,yes
58,unemployed,secondary,687,99,yes
23,student,secondary,0,99,yes
59,retired,tertiary,3444,185,yes
32,self-employed,tertiary,1815,102,yes
31,management,tertiary,10884,98,yes
42,blue-collar,primary,201,103,yes
42,services,tertiary,94,90,yes
57,technician,secondary,589,190,yes
30,management,tertiary,533,99,yes
42,technician,secondary,994,78,yes
26,admin.,secondary,96,70,yes
40,admin.,secondary,100,461,yes
39,admin.,secondary,260,116,yes
58,self-employed,primary,1013,461,yes
31,services,secondary,181,104,yes
36,management,tertiary,3850,100,yes
41,management,tertiary,27696,104,yes
59,technician,secondary,116,422,yes
34,management,tertiary,48,93,yes
55,management,primary,113,457,yes
33,blue-collar,secondary,498,104,yes
43,technician,tertiary,2643,100,yes
34,services,secondary,1337,104,yes
38,blue-collar,secondary,1165,94,yes
31,admin.,secondary,35,105,yes
50,services,secondary,3169,430,yes
56,management,tertiary,616,105,yes
76,retired,primary,3324,192,yes
28,technician,secondary,113,105,yes
56,retired,primary,9367,101,yes
45,management,tertiary,2067,462,yes
49,management,tertiary,1,101,yes
26,admin.,secondary,255,106,yes
47,unemployed,secondary,926,403,yes
44,management,tertiary,226,270,yes
33,unemployed,tertiary,1974,191,yes
42,admin.,primary,-306,459,yes
35,management,tertiary,431,397,yes
62,retired,secondary,1495,196,yes
26,management,tertiary,828,199,yes
22,student,secondary,948,197,yes
30,student,secondary,48,173,yes
34,housemaid,tertiary,0,84,yes
55,technician,secondary,1938,386,yes
49,technician,secondary,9131,461,yes
43,admin.,secondary,132,84,yes
30,management,tertiary,5359,84,yes
27,technician,tertiary,11862,87,yes
42,management,primary,5310,90,yes
60,admin.,secondary,106,91,yes
50,technician,secondary,3370,80,yes
43,admin.,secondary,733,88,yes
53,retired,tertiary,-309,428,yes
28,blue-collar,secondary,61,109,yes
59,unemployed,secondary,1047,184,yes
29,management,tertiary,265,94,yes
37,blue-collar,primary,106,392,yes
37,technician,tertiary,127,193,yes
36,management,tertiary,255,95,yes
43,services,secondary,2145,95,yes
43,management,tertiary,1696,474,yes
36,blue-collar,secondary,40,475,yes
36,technician,secondary,539,477,yes
29,technician,secondary,590,94,yes
32,technician,tertiary,636,116,yes
55,admin.,secondary,1872,93,yes
36,management,tertiary,490,98,yes
27,student,tertiary,118,98,yes
45,management,tertiary,4119,283,yes
52,blue-collar,secondary,2087,474,yes
49,management,tertiary,5689,97,yes
30,blue-collar,primary,201,157,yes
39,management,tertiary,119,476,yes
48,management,tertiary,17964,98,yes
51,management,tertiary,2635,98,yes
48,technician,secondary,568,386,yes
46,admin.,tertiary,2552,94,yes
31,self-employed,tertiary,3343,94,yes
40,unemployed,tertiary,7968,93,yes
55,management,primary,2587,94,yes
57,management,tertiary,6468,157,yes
26,technician,secondary,1231,93,yes
36,technician,tertiary,1354,97,yes
55,admin.,secondary,602,98,yes
52,technician,secondary,0,294,yes
36,services,secondary,52,95,yes
31,management,tertiary,924,94,yes
50,admin.,tertiary,6574,92,yes
33,self-employed,secondary,409,97,yes
25,admin.,secondary,1871,96,yes
32,management,tertiary,2915,131,yes
58,management,tertiary,1227,95,yes
79,retired,secondary,723,79,yes
30,management,tertiary,147,100,yes
31,management,tertiary,12569,295,yes
34,management,tertiary,158,132,yes
28,admin.,secondary,261,98,yes
46,blue-collar,secondary,640,129,yes
47,technician,secondary,1013,92,yes
57,blue-collar,primary,3109,105,yes
50,housemaid,secondary,388,99,yes
34,blue-collar,secondary,262,106,yes
50,management,tertiary,810,103,yes
54,unemployed,secondary,1664,105,yes
26,management,tertiary,362,104,yes
40,technician,tertiary,1293,105,yes
29,management,tertiary,874,103,yes
25,management,tertiary,808,114,yes
83,retired,primary,425,92,yes
43,management,tertiary,2367,113,yes
45,blue-collar,secondary,10252,141,yes
37,admin.,tertiary,1000,99,yes
27,management,tertiary,20585,100,yes
57,management,tertiary,10583,98,yes
40,blue-collar,secondary,1451,121,yes
26,student,secondary,132,119,yes
37,management,tertiary,1027,119,yes
54,management,tertiary,1464,94,yes
54,management,tertiary,8295,119,yes
33,management,tertiary,5437,58,yes
25,admin.,tertiary,1185,114,yes
36,technician,tertiary,4596,175,yes
58,retired,primary,565,93,yes
33,management,tertiary,1781,183,yes
27,admin.,secondary,3415,184,yes
60,admin.,secondary,12039,187,yes
56,unemployed,secondary,12,187,yes
35,management,tertiary,2646,182,yes
61,self-employed,tertiary,6,182,yes
36,admin.,secondary,592,99,yes
58,technician,primary,4198,246,yes
30,management,tertiary,536,105,yes
54,blue-collar,primary,1311,184,yes
43,services,primary,2557,183,yes
40,unemployed,tertiary,79,135,yes
57,management,tertiary,1318,185,yes
75,retired,secondary,3771,183,yes
77,retired,tertiary,0,60,yes
31,management,tertiary,6138,119,yes
50,management,tertiary,469,183,yes
44,technician,tertiary,643,143,yes
76,housemaid,primary,1411,187,yes
39,technician,tertiary,206,195,yes
65,retired,secondary,571,183,yes
54,technician,secondary,3994,187,yes
28,management,tertiary,80,146,yes
61,management,tertiary,267,184,yes
53,housemaid,primary,2581,189,yes
27,student,tertiary,1134,183,yes
55,unemployed,secondary,309,184,yes
33,management,tertiary,6807,184,yes
33,self-employed,tertiary,658,208,yes
33,admin.,tertiary,79,335,yes
30,technician,tertiary,411,149,yes
68,retired,tertiary,2144,184,yes
41,technician,tertiary,431,107,yes
29,self-employed,secondary,123,184,yes
27,blue-collar,secondary,3792,183,yes
82,retired,primary,8603,107,yes
76,retired,tertiary,2991,183,yes
38,management,tertiary,4174,184,yes
60,technician,secondary,10925,185,yes
33,services,secondary,2411,161,yes
57,management,primary,6900,185,yes
33,management,tertiary,5878,430,yes
35,technician,secondary,183,52,yes
59,retired,primary,3648,126,yes
73,retired,primary,542,180,yes
38,blue-collar,secondary,0,75,yes
52,services,secondary,992,515,yes
38,housemaid,secondary,70,148,yes
30,admin.,secondary,914,272,yes
57,housemaid,tertiary,2326,194,yes
30,management,tertiary,697,80,yes
66,retired,tertiary,1948,269,yes
47,management,tertiary,3663,213,yes
30,technician,secondary,853,148,yes
60,management,tertiary,3401,270,yes
54,technician,secondary,473,81,yes
35,self-employed,tertiary,5462,186,yes
48,management,secondary,0,351,yes
36,management,tertiary,62,182,yes
36,self-employed,tertiary,506,70,yes
27,management,tertiary,1720,273,yes
34,management,tertiary,1778,162,yes
24,technician,secondary,556,80,yes
33,student,secondary,1536,94,yes
32,management,tertiary,935,91,yes
60,self-employed,tertiary,10861,91,yes
35,management,tertiary,1228,88,yes
24,student,secondary,125,90,yes
40,management,tertiary,0,96,yes
33,management,tertiary,22867,92,yes
71,housemaid,primary,1311,91,yes
52,unemployed,secondary,94,190,yes
26,management,tertiary,943,195,yes
33,services,secondary,1076,96,yes
35,management,tertiary,0,96,yes
53,management,tertiary,1624,97,yes
44,self-employed,tertiary,1070,91,yes
21,student,secondary,123,91,yes
36,blue-collar,secondary,3623,378,yes
31,management,tertiary,533,93,yes
42,technician,secondary,994,93,yes
33,services,secondary,386,92,yes
30,unemployed,secondary,2424,279,yes
32,management,tertiary,1331,92,yes
47,management,tertiary,4693,97,yes
48,blue-collar,secondary,1230,196,yes
27,student,tertiary,5291,92,yes
43,services,secondary,3403,97,yes
33,technician,secondary,133,192,yes
76,retired,primary,3324,92,yes
71,retired,primary,2600,98,yes
39,admin.,secondary,260,94,yes
18,student,primary,608,93,yes
58,services,secondary,462,93,yes
44,technician,secondary,14,92,yes
67,retired,secondary,1146,92,yes
31,services,secondary,181,93,yes
36,technician,secondary,376,92,yes
56,retired,primary,9367,92,yes
24,student,secondary,382,92,yes
33,admin.,secondary,920,95,yes
58,admin.,secondary,169,94,yes
27,blue-collar,secondary,535,94,yes
37,technician,tertiary,197,200,yes
43,management,tertiary,3186,88,yes
35,technician,tertiary,3160,95,yes
75,retired,tertiary,6027,94,yes
52,management,tertiary,583,91,yes
55,technician,tertiary,0,91,yes
28,student,secondary,1925,97,yes
72,retired,secondary,1129,91,yes
29,admin.,secondary,265,184,yes
58,technician,secondary,3399,188,yes
22,student,tertiary,691,103,yes
60,retired,tertiary,4,190,yes
29,technician,secondary,1165,184,yes
36,admin.,tertiary,4708,171,yes
68,retired,tertiary,2820,97,yes
48,management,tertiary,1147,120,yes
28,services,secondary,339,182,yes
49,management,tertiary,5887,185,yes
43,management,tertiary,11891,242,yes
44,admin.,secondary,733,105,yes
29,student,secondary,314,116,yes
42,management,tertiary,254,183,yes
37,admin.,secondary,0,190,yes
79,retired,secondary,8304,275,yes
58,management,tertiary,256,188,yes
30,technician,secondary,2326,175,yes
36,management,tertiary,925,189,yes
29,management,tertiary,572,195,yes
57,retired,secondary,5313,196,yes
34,services,secondary,1337,127,yes
27,student,secondary,538,197,yes
50,management,tertiary,5108,182,yes
50,services,secondary,320,315,yes
32,admin.,secondary,131,189,yes
59,retired,primary,2074,186,yes
68,retired,secondary,1443,257,yes
64,self-employed,tertiary,661,294,yes
60,admin.,secondary,3735,188,yes
72,retired,primary,4657,309,yes
30,blue-collar,primary,5,203,yes
43,management,tertiary,3518,196,yes
39,technician,tertiary,25,210,yes
38,admin.,secondary,11303,216,yes
32,management,tertiary,718,197,yes
23,services,secondary,870,176,yes
35,unemployed,secondary,978,209,yes
61,management,secondary,544,200,yes
25,technician,secondary,139,91,yes
57,retired,secondary,1044,192,yes
55,admin.,secondary,1633,192,yes
73,retired,primary,1388,83,yes
31,technician,secondary,2544,279,yes
21,student,secondary,2488,92,yes
28,self-employed,tertiary,1579,91,yes
31,unemployed,tertiary,330,194,yes
70,retired,primary,482,196,yes
59,technician,primary,4198,91,yes
48,unemployed,secondary,817,282,yes
33,services,secondary,133,274,yes
60,retired,tertiary,979,347,yes
79,retired,primary,8556,272,yes
64,retired,secondary,588,91,yes
42,technician,secondary,994,67,yes
47,blue-collar,secondary,820,91,yes
66,retired,secondary,203,195,yes
61,retired,secondary,86,94,yes
27,admin.,tertiary,2855,301,yes
36,management,tertiary,203,88,yes
38,unemployed,primary,7005,202,yes
77,retired,secondary,4112,95,yes
81,retired,primary,243,92,yes
52,services,secondary,992,92,yes
38,housemaid,secondary,70,92,yes
39,admin.,secondary,0,436,yes
36,student,tertiary,129,93,yes
52,services,secondary,659,93,yes
80,retired,primary,997,91,yes
33,technician,tertiary,1699,83,yes
56,technician,tertiary,1181,433,yes
54,admin.,secondary,0,98,yes
66,retired,tertiary,1948,91,yes
28,admin.,secondary,261,142,yes
36,technician,tertiary,202,120,yes
56,services,secondary,1989,281,yes
33,technician,secondary,303,301,yes
72,retired,primary,2600,82,yes
44,technician,tertiary,1818,92,yes
52,blue-collar,secondary,955,48,yes
37,technician,secondary,265,366,yes
45,admin.,secondary,205,92,yes
68,retired,tertiary,2812,181,yes
55,management,tertiary,2037,94,yes
32,student,tertiary,0,276,yes
55,admin.,secondary,602,150,yes
41,technician,tertiary,1646,184,yes
35,unemployed,tertiary,415,176,yes
80,retired,secondary,2354,181,yes
38,technician,secondary,318,181,yes
48,blue-collar,secondary,1730,178,yes
36,admin.,tertiary,994,176,yes
29,housemaid,tertiary,19,64,yes
23,admin.,tertiary,897,280,yes
67,retired,secondary,704,97,yes
22,student,secondary,216,187,yes
45,admin.,secondary,1206,446,yes
35,management,tertiary,62,185,yes
33,student,secondary,1536,92,yes
24,student,tertiary,235,92,yes
65,entrepreneur,tertiary,2331,92,yes
27,management,tertiary,390,104,yes
35,admin.,secondary,-32,182,yes
39,blue-collar,tertiary,172,183,yes
53,admin.,secondary,10541,92,yes
23,student,secondary,480,182,yes
34,admin.,secondary,2374,92,yes
52,unemployed,secondary,94,92,yes
61,retired,tertiary,2557,92,yes
58,technician,secondary,589,183,yes
48,unemployed,secondary,201,92,yes
58,management,secondary,2155,92,yes
39,technician,secondary,902,180,yes
44,management,tertiary,1791,190,yes
27,student,tertiary,5291,91,yes
77,retired,secondary,638,188,yes
76,retired,primary,3324,90,yes
28,blue-collar,secondary,61,174,yes
35,management,tertiary,0,92,yes
59,technician,secondary,116,183,yes
42,blue-collar,secondary,413,184,yes
35,self-employed,tertiary,353,183,yes
60,retired,secondary,523,182,yes
34,blue-collar,secondary,1454,297,yes
57,retired,primary,9367,90,yes
75,retired,secondary,291,183,yes
64,retired,tertiary,846,181,yes
36,technician,tertiary,341,183,yes
29,technician,secondary,113,183,yes
34,management,tertiary,13014,183,yes
41,management,tertiary,27696,184,yes
21,student,secondary,123,93,yes
54,technician,secondary,10185,186,yes
29,management,tertiary,1026,92,yes
38,services,secondary,775,182,yes
48,unemployed,secondary,926,185,yes
46,management,tertiary,349,616,yes
32,technician,secondary,484,187,yes
37,management,tertiary,2987,91,yes
37,technician,tertiary,197,91,yes
23,student,secondary,431,186,yes
58,admin.,secondary,169,91,yes
45,management,tertiary,226,185,yes
30,unemployed,secondary,2424,95,yes
23,student,secondary,1234,91,yes
34,management,tertiary,271,94,yes
61,self-employed,tertiary,52587,189,yes
27,blue-collar,secondary,535,91,yes
52,technician,secondary,195,63,yes
35,management,tertiary,681,561,yes
66,retired,secondary,2326,181,yes
52,services,secondary,961,553,yes
38,management,tertiary,455,555,yes
59,self-employed,tertiary,2013,94,yes
47,blue-collar,secondary,1568,262,yes
60,retired,secondary,1,184,yes
39,management,tertiary,763,189,yes
80,housemaid,primary,0,189,yes
47,admin.,secondary,368,187,yes
37,unemployed,tertiary,7620,176,yes
29,self-employed,tertiary,805,103,yes
40,management,tertiary,0,182,yes
32,management,tertiary,302,384,yes
20,student,secondary,215,92,yes
48,housemaid,tertiary,5473,184,yes
60,admin.,secondary,106,187,yes
70,retired,primary,2346,184,yes
63,technician,secondary,973,388,yes
59,technician,secondary,7766,461,yes
22,student,secondary,948,191,yes
52,technician,secondary,117,186,yes
71,retired,secondary,0,171,yes
33,management,tertiary,71,102,yes
56,technician,secondary,1938,192,yes
30,management,tertiary,5359,191,yes
28,blue-collar,secondary,-46,89,yes
